purpose,grade,loan_status_clean,loan_count,avg_return_vs_purpose_avg
vacation,C,Fully Paid,1167,8.39
moving,A,Fully Paid,57,2.39
house,C,Fully Paid,507,10.4
moving,F,Fully Paid,190,24.28
vacation,E,Fully Paid,292,19.54
other,G,Charged Off,235,-48.33
renewable_energy,D,Fully Paid,88,15.16
home_improvement,G,Fully Paid,162,29.72
renewable_energy,F,Charged Off,12,-37.12
major_purchase,E,Charged Off,357,-50.46
car,D,Fully Paid,576,15.8
medical,C,Fully Paid,1796,10.84
house,F,Fully Paid,209,20.88
house,G,Fully Paid,80,24.3
car,G,Charged Off,16,-60.18
small_business,A,Charged Off,9,-44.73
major_purchase,D,Fully Paid,1373,17.67
credit_card,D,Charged Off,5134,-46.01
credit_card,E,Fully Paid,3656,23.83
renewable_energy,D,Charged Off,31,-49.56
other,G,Fully Paid,283,32.87
vacation,E,Charged Off,109,-45.27
home_improvement,G,Charged Off,117,-48.57
moving,F,Charged Off,104,-48.8
renewable_energy,F,Fully Paid,23,27.35
vacation,C,Charged Off,224,-45.12
house,C,Charged Off,105,-39.99
moving,A,Charged Off,5,-37.85
